,county,date,month,2.9%tax,year,total_revenue
284,Adams,5-01-2015,5,10298,2015,355103.448276
285,Arapahoe,5-01-2015,5,41057,2015,1415758.62069
286,Boulder,5-01-2015,5,76119,2015,2624793.10345
287,Clear Creek,5-01-2015,5,4320,2015,148965.517241
288,Denver,5-01-2015,5,399814,2015,13786689.6552
289,Eagle,5-01-2015,5,9610,2015,331379.310345
290,El Paso,5-01-2015,5,189852,2015,6546620.68966
291,Fremont,5-01-2015,5,6856,2015,236413.793103
292,Garfield,5-01-2015,5,10551,2015,363827.586207
293,Jefferson,5-01-2015,5,53242,2015,1835931.03448
294,La Plata,5-01-2015,5,4622,2015,159379.310345
295,Larimer,5-01-2015,5,34480,2015,1188965.51724
296,Montezuma,5-01-2015,5,4947,2015,170586.206897
297,Pitkin,5-01-2015,5,1753,2015,60448.2758621
298,Pueblo,5-01-2015,5,16626,2015,573310.344828
299,Routt,5-01-2015,5,4593,2015,158379.310345
300,Summit,5-01-2015,5,6292,2015,216965.517241
301,Weld,5-01-2015,5,9608,2015,331310.344828
302,Other Counties,5-01-2015,5,23817,2015,821275.862069
303,Adams,5-01-2016,5,14686,2016,506413.793103
304,Arapahoe,5-01-2016,5,36871,2016,1271413.7931
305,Boulder,5-01-2016,5,58530,2016,2018275.86207
306,Clear Creek,5-01-2016,5,2333,2016,80448.2758621
307,Denver,5-01-2016,5,502345,2016,17322241.3793
308,Eagle,5-01-2016,5,10830,2016,373448.275862
309,El Paso,5-01-2016,5,247396,2016,8530896.55172
310,Fremont,5-01-2016,5,6259,2016,215827.586207
311,Garfield,5-01-2016,5,12213,2016,421137.931034
312,Gilpin,5-01-2016,5,701,2016,24172.4137931
313,Jefferson,5-01-2016,5,40732,2016,1404551.72414
314,La Plata,5-01-2016,5,11219,2016,386862.068966
315,Larimer,5-01-2016,5,38915,2016,1341896.55172
316,Montezuma,5-01-2016,5,2975,2016,102586.206897
317,Pitkin,5-01-2016,5,4429,2016,152724.137931
318,Pueblo,5-01-2016,5,29804,2016,1027724.13793
319,San Miguel,5-01-2016,5,1476,2016,50896.5517241
320,Summit,5-01-2016,5,4526,2016,156068.965517
321,Weld,5-01-2016,5,10104,2016,348413.793103
322,Other Counties,5-01-2016,5,20882,2016,720068.965517
323,Adams,6-01-2014,6,12144,2014,418758.62069
324,Arapahoe,6-01-2014,6,28959,2014,998586.206897
325,Boulder,6-01-2014,6,63803,2014,2200103.44828
326,Chaffee,6-01-2014,6,2939,2014,101344.827586
327,Clear Creek,6-01-2014,6,2747,2014,94724.137931
328,Denver,6-01-2014,6,378415,2014,13048793.1034
329,Eagle,6-01-2014,6,3903,2014,134586.206897
330,El Paso,6-01-2014,6,158300,2014,5458620.68966
331,Fremont,6-01-2014,6,11845,2014,408448.275862
332,Garfield,6-01-2014,6,11069,2014,381689.655172
333,Gilpin,6-01-2014,6,1269,2014,43758.6206897
334,Jefferson,6-01-2014,6,49197,2014,1696448.27586
335,La Plata,6-01-2014,6,16104,2014,555310.344828
336,Larimer,6-01-2014,6,32545,2014,1122241.37931
337,Montezuma,6-01-2014,6,5352,2014,184551.724138
338,Pitkin,6-01-2014,6,2363,2014,81482.7586207
339,Pueblo,6-01-2014,6,8823,2014,304241.37931
340,San Miguel,6-01-2014,6,2035,2014,70172.4137931
341,Summit,6-01-2014,6,5031,2014,173482.758621
342,Weld,6-01-2014,6,13084,2014,451172.413793
343,Other Counties,6-01-2014,6,20933,2014,721827.586207
344,Adams,6-01-2016,6,9942,2016,342827.586207
345,Arapahoe,6-01-2016,6,41835,2016,1442586.2069
346,Boulder,6-01-2016,6,73253,2016,2525965.51724
347,Clear Creek,6-01-2016,6,1918,2016,66137.9310345
348,Denver,6-01-2016,6,533148,2016,18384413.7931
349,Eagle,6-01-2016,6,5159,2016,177896.551724
350,El Paso,6-01-2016,6,231702,2016,7989724.13793
351,Fremont,6-01-2016,6,6249,2016,215482.758621
352,Garfield,6-01-2016,6,12233,2016,421827.586207
353,Jefferson,6-01-2016,6,48524,2016,1673241.37931
354,La Plata,6-01-2016,6,12367,2016,426448.275862
355,Larimer,6-01-2016,6,27483,2016,947689.655172
356,Montezuma,6-01-2016,6,2693,2016,92862.0689655
357,Pitkin,6-01-2016,6,3669,2016,126517.241379
358,Pueblo,6-01-2016,6,22110,2016,762413.793103
359,Routt,6-01-2016,6,3988,2016,137517.241379
360,San Miguel,6-01-2016,6,1100,2016,37931.0344828
361,Summit,6-01-2016,6,4300,2016,148275.862069
362,Weld,6-01-2016,6,8446,2016,291241.37931
363,Other Counties,6-01-2016,6,18177,2016,626793.103448
364,Adams,7-01-2014,7,12684,2014,437379.310345
365,Arapahoe,7-01-2014,7,31401,2014,1082793.10345
366,Boulder,7-01-2014,7,71626,2014,2469862.06897
367,Chaffee,7-01-2014,7,4228,2014,145793.103448
368,Clear Creek,7-01-2014,7,3050,2014,105172.413793
369,Denver,7-01-2014,7,376061,2014,12967620.6897
370,Eagle,7-01-2014,7,3377,2014,116448.275862
371,El Paso,7-01-2014,7,168736,2014,5818482.75862
372,Fremont,7-01-2014,7,7310,2014,252068.965517
373,Garfield,7-01-2014,7,11816,2014,407448.275862
374,Gilpin,7-01-2014,7,964,2014,33241.3793103
375,Jefferson,7-01-2014,7,46348,2014,1598206.89655
376,La Plata,7-01-2014,7,16929,2014,583758.62069
377,Larimer,7-01-2014,7,29607,2014,1020931.03448
378,Montezuma,7-01-2014,7,3354,2014,115655.172414
379,Pitkin,7-01-2014,7,4435,2014,152931.034483
380,Pueblo,7-01-2014,7,16490,2014,568620.689655
381,San Miguel,7-01-2014,7,1823,2014,62862.0689655
382,Summit,7-01-2014,7,5149,2014,177551.724138
383,Weld,7-01-2014,7,9092,2014,313517.241379
384,Other Counties,7-01-2014,7,14232,2014,490758.62069
385,Adams,7-01-2015,7,11247,2015,387827.586207
386,Arapahoe,7-01-2015,7,42537,2015,1466793.10345
387,Boulder,7-01-2015,7,85442,2015,2946275.86207
388,Clear Creek,7-01-2015,7,5431,2015,187275.862069
389,Denver,7-01-2015,7,518868,2015,17892000.0
390,Eagle,7-01-2015,7,10580,2015,364827.586207
391,El Paso,7-01-2015,7,233749,2015,8060310.34483
392,Fremont,7-01-2015,7,7610,2015,262413.793103
